X	Y
380	0,472972972972973
381,02557544757	0,474903474903475
382,051150895141	0,476833976833977
383,076726342711	0,478764478764479
384,102301790281	0,480694980694981
385,127877237852	0,484555984555985
386,153452685422	0,488416988416988
387,179028132992	0,494208494208494
388,204603580563	0,5
389,230179028133	0,50965250965251
390,255754475703	0,525096525096525
391,281329923274	0,542471042471043
392,306905370844	0,565637065637066
393,332480818414	0,590733590733591
394,358056265985	0,621621621621622
395,383631713555	0,650579150579151
396,409207161125	0,681467181467181
397,434782608696	0,71042471042471
398,460358056266	0,743243243243243
399,485933503836	0,77027027027027
400,511508951407	0,797297297297297
401,537084398977	0,818532818532819
402,562659846547	0,832046332046332
403,588235294118	0,845559845559846
404,613810741688	0,855212355212355
405,639386189258	0,859073359073359
406,664961636829	0,862934362934363
407,690537084399	0,862934362934363
408,716112531969	0,866795366795367
409,74168797954	0,870656370656371
410,76726342711	0,874517374517375
411,79283887468	0,876447876447876
412,818414322251	0,878378378378378
413,843989769821	0,882239382239382
414,869565217391	0,886100386100386
415,895140664962	0,88996138996139
416,920716112532	0,88996138996139
417,946291560102	0,88996138996139
418,971867007673	0,886100386100386
419,997442455243	0,882239382239382
421,023017902813	0,874517374517375
422,048593350384	0,866795366795367
423,074168797954	0,859073359073359
424,099744245524	0,849420849420849
425,125319693095	0,835907335907336
426,150895140665	0,832046332046332
427,176470588235	0,82046332046332
428,202046035806	0,812741312741313
429,227621483376	0,814671814671815
430,253196930946	0,82046332046332
431,278772378517	0,828185328185328
432,304347826087	0,837837837837838
433,329923273657	0,847490347490347
434,355498721228	0,857142857142857
435,381074168798	0,868725868725869
436,406649616368	0,88030888030888
437,432225063939	0,88996138996139
438,457800511509	0,901544401544402
439,483375959079	0,911196911196911
440,50895140665	0,920849420849421
441,53452685422	0,932432432432432
442,56010230179	0,942084942084942
443,585677749361	0,951737451737452
444,611253196931	0,961389961389961
445,636828644501	0,972972972972973
446,662404092072	0,982625482625483
447,687979539642	0,988416988416988
448,713554987212	0,994208494208494
449,739130434783	0,998069498069498
450,764705882353	1
451,790281329923	1
452,815856777494	1
453,841432225064	1
454,867007672634	1
455,892583120205	1
456,918158567775	1
457,943734015345	1
458,969309462916	0,998069498069498
459,994884910486	0,996138996138996
461,020460358056	0,994208494208494
462,046035805627	0,99034749034749
463,071611253197	0,99034749034749
464,097186700767	0,986486486486487
465,122762148338	0,982625482625483
466,148337595908	0,978764478764479
467,173913043478	0,974903474903475
468,199488491049	0,971042471042471
469,225063938619	0,971042471042471
470,250639386189	0,967181467181467
471,27621483376	0,963320463320463
472,30179028133	0,959459459459459
473,3273657289	0,959459459459459
474,352941176471	0,955598455598456
475,378516624041	0,951737451737452
476,404092071611	0,947876447876448
477,429667519182	0,944015444015444
478,455242966752	0,94015444015444
479,480818414322	0,94015444015444
480,506393861893	0,936293436293436
481,531969309463	0,932432432432432
482,557544757033	0,928571428571429
483,583120204604	0,926640926640927
484,608695652174	0,920849420849421
485,634271099744	0,916988416988417
