"Name","Count"
"2026-02-04","9"
"2026-02-05","9"
"2026-02-06","4"
"2026-02-07","3"
"2026-02-08","1"
"2026-02-09","1"
"2026-02-10","1"
"2026-02-11","3"
"2026-02-15","1"
